pname,pmass,pradius
KELT-3 b,616.5863199999999,17.48604
K2-18 b,8.92143196,2.365099
Kepler-11 e,7.9456999999999995,4.192166
Kepler-41 b,177.98368,14.45961
K2-24 b,18.999757839999997,5.402737999999999
Kepler-408 b,4.99943444,0.8182569999999999
KOI-1257 b,460.85059999999993,10.53646
Kepler-305 c,6.0387319999999995,3.2954459999999997
WASP-89 b,1875.1852,11.65736
Kepler-238 f,13.348775999999999,1.995202
HD 136352 b,4.62121912,1.4795880000000001
K2-111 b,5.2886579199999995,1.815858
Kepler-1654 b,158.914,9.180171
KELT-20 b,1074.894296,19.514869
HAT-P-5 b,311.47144,13.56289
HAT-P-6 b,419.53296,16.58932
CoRoT-28 b,153.82875199999998,10.704595
HAT-P-37 b,371.540932,13.204201999999999
Kepler-25 c,15.223961199999998,5.212185
Kepler-96 b,8.581356,2.6677419999999996
Kepler-46 b,1906.9679999999998,9.056872
Kepler-82 b,12.150564439999998,4.068867
Kepler-433 b,896.2749599999999,16.253049999999998
WASP-2 b,295.897868,12.116928999999999
Kepler-238 e,169.72015199999998,5.6045
WASP-64 b,403.95938799999993,14.246638999999998
WASP-70 A b,187.51851999999997,13.047275999999998
WASP-82 b,371.85875999999996,18.15858
WASP-106 b,514.88136,11.43318
WASP-163 b,594.33836,13.473218
HD 221416 b,60.387319999999995,9.370724
NGTS-10 b,687.1441359999999,13.506845
WASP-121 b,375.990524,20.904785
LTT 9779 b,29.319632999999996,4.718989
K2-141 c,7.399035839999999,6.994416
HAT-P-21 b,1547.82236,12.44199
CoRoT-29 b,270.1538,10.0881
Kepler-20 c,12.75125936,3.048848
Kepler-22 b,35.914564,2.376308
Kepler-30 d,23.201443999999995,8.799065
HD 209458 b,232.01443999999998,15.580509999999999
Kepler-98 b,3.4961079999999995,1.995202
Kepler-101 b,50.85248,5.71659
Kepler-100 d,3.00029632,1.6140959999999998
TRAPPIST-1 b,0.84860076,1.087273
GQ Lup b,6356.5599999999995,33.626999999999995
Kepler-279 d,37.50370399999999,3.104893
OGLE-TR-113 b,400.46328,12.251437
K2-60 b,135.394728,7.655747000000001
HATS-41 b,3082.9315999999994,14.90797
WASP-113 b,150.96829999999997,15.793481
WASP-182 b,47.038543999999995,9.52765
HATS-46 b,54.98424399999999,10.121727
HATS-52 b,711.93472,15.490837999999998
HD 332231 b,77.55003199999999,9.718202999999999
K2-285 d,6.499582599999999,2.477189
HAT-P-8 b,406.81984,15.692599999999999
CoRoT-14 b,2415.4927999999995,12.21781
HD 219134 f,7.30050916,1.311453
Kepler-109 b,7.30050916,2.365099
Kepler-113 c,8.698952359999998,2.174546
CT Cha b,5403.075999999999,24.6598
Kepler-53 b,5851.213479999999,2.891922
Kepler-57 b,5994.23608,2.185755
Kepler-62 d,13.984431999999998,1.9503659999999998
Kepler-409 b,22.000054159999998,1.188154
Kepler-427 b,92.17011999999998,13.78707
WASP-16 b,394.10671999999994,13.67498
TOI-677 b,392.835408,13.114529999999998
HATS-43 b,82.953108,13.226619999999999
Qatar-6 b,212.309104,11.903958
PDS 70 b,953.4839999999999,30.488480000000003
HATS-17 b,425.25386399999996,8.709393
Kepler-58 b,441.7809199999999,2.779832
Kepler-396 c,17.798368,5.301856999999999
WASP-26 b,270.1538,13.56289
WASP-44 b,276.51036,12.3299
WASP-33 b,665.2140039999999,17.855937
WASP-78 b,352.78908,21.63337
XO-4 b,451.31575999999995,14.01125
K2-260 b,451.31575999999995,17.396368
KELT-17 b,416.35468,17.093725
HATS-33 b,378.85097599999995,13.78707
WASP-174 b,413.1764,14.5717
WASP-192 b,731.0043999999999,13.78707
K2-137 b,158.914,0.8855109999999999
Kepler-177 c,14.699544999999999,8.731811
CoRoT-7 b,4.07773324,1.68135
HAT-P-38 b,84.86007599999999,9.247425
Kepler-18 b,6.992215999999999,1.995202
Kepler-97 b,3.4961079999999995,1.4795880000000001
Kepler-79 c,6.0387319999999995,3.721388
Kepler-44 b,317.828,12.21781
XO-5 b,378.21531999999996,12.778259999999998
Kepler-282 e,56.25555599999999,3.104893
Kepler-424 b,327.36284,9.97601
WASP-5 b,502.16823999999997,12.184182999999999
HATS-64 b,305.11487999999997,18.819911
LTT 1445 A b,2.1993697599999997,1.378707
Qatar-10 b,233.92140799999999,17.295486999999998
NGTS-3 A b,756.4306399999999,16.58932
WASP-167 b,2542.624,17.71022
NGTS-6 b,425.5716919999999,14.863134
WD 1856+534 b,4386.0264,10.401952
KOI-1599.01,4.59897116,1.9055300000000002
CoRoT-1 b,327.36284,16.70141
Kepler-92 b,64.201256,3.5084169999999997
Kepler-36 b,3.8298273999999997,1.502006
Kepler-40 b,699.2216,13.114529999999998
Kepler-447 b,435.42436,18.49485
WASP-8 b,807.2831199999999,12.66617
WASP-11 b,251.08411999999998,12.44199
WASP-57 b,204.681232,11.76945
WASP-63 b,117.59635999999999,15.804689999999999
WASP-61 b,851.77904,15.804689999999999
WASP-67 b,136.66603999999998,12.890349999999998
K2-329 b,82.63528,8.675766
